;Caption;URL;type;mean_sscd;max_sscd;Index
0;The No Limits Business Woman Podcast;https://onlinecoach1.hipcast.com/albumart/1000_1618923228.jpg;VM;0.8392826318740845;0.8467365503311157;1030727993
1;Full body U-Zip main opening - Full body U-Zip main opening on front of bag for easy unloading when you get to camp;https://eu.gregorypacks.com/on/demandware.static/-/Library-Sites-gregory-content-library/en_SK/v1606883040757/images/seo-content/greg_freefloat-features/product-highlight_freefloat-features_full-body-u-zip-main-opening-front_111594.jpg;TM;0.1913646161556244;0.208318829536438;2026642560
2;Mothers influence on her young hippo;https://bridgepoint.hipcast.com/albumart/1255_1611128821.jpg;VM;0.9016762971878052;0.907255232334137;964841345
3;"""Watch: Passion Pit's New Video, """"Lifted Up (1985)""""""";http://cdn.pastemagazine.com/www/articles/LiftedUpPassionPitLead.png?635631739914404090;VM;0.8676004409790039;0.8728861808776855;567947515
4;Talks on the Precepts and Buddhist Ethics;https://kargetsi.hipcast.com/albumart/1002_1412114076.jpg;VM;0.8368366956710815;0.8456144332885742;455502462
5;Sony Won't Release <i>The Interview</i> on VOD;http://cdn.pastemagazine.com/www/articles/theinterviewlead.jpg?635544845263589183;VM;0.9229888916015625;0.9256535768508911;851022632
6;<i>I Am Chris Farley</i> Documentary Releases First Trailer;http://cdn.pastemagazine.com/www/articles/chrisfarley_lead.jpg?635714111027175372;VM;0.8738852739334106;0.8862900733947754;1023892317
7;<em>South Park: The Stick of Truth</em> Review (Multi-Platform);http://cdn.pastemagazine.com/www/articles/south%20park%20stick%20of%20truth%20square.jpg?635299191297936569;VM;0.8453534841537476;0.8709957599639893;603108831
8;<i>X-Men: Days of Future Past</i> Director Joins Vince Gilligan's <i>Battle Creek</i> Pilot;http://cdn.pastemagazine.com/www/articles/xmen_Lead.jpg?635302258433891622;VM;0.8391076326370239;0.8472722768783569;164368747
9;Insights with Laura Powers;https://healingpowers.hipcast.com/albumart/1002_1574160114.jpg;VM;0.8474085927009583;0.8516373634338379;453829331
10;As Punisher Joins <i>Daredevil</i> Season Two, Who Will the New Villain Be?;http://cdn.pastemagazine.com/www/articles/Daredevil.jpg?635715723368404272;VM;0.7639486193656921;0.7855117917060852;1905554055
11;Aretha Franklin Files $10 Million Suit Over Patti LaBelle Fight Story On Satire Website;http://cdn.pastemagazine.com/www/articles/ArethaPattiFightLead.jpg?635336007908858997;VM;0.9393749237060547;0.9436290264129639;455965495
12;Hawkgirl Cast in <i>Arrow</i>/<i>Flash</i> Spinoff Series For The CW;http://cdn.pastemagazine.com/www/articles/GalleryChar_1900x900_Hawkgirl_52ab8e9dcba602.76541875.jpg?635634067326687289;VM;0.864558219909668;0.8689841032028198;2064288135
13;Here's What You Need to Know About St. Vincent's Apple Music Radio Show;http://cdn.pastemagazine.com/www/articles/St.%20Vincent%20Lead.jpg?635713041884767471;TM;0.48687514662742615;0.6418434977531433;846846885
14;Daniel Radcliffe Dons a Beard and Saggy Jeans in Trailer for BBC GTA Miniseries <i>The Gamechangers</i>;http://cdn.pastemagazine.com/www/articles/GCDanielRadcliffeLead.png?635769102760421170;VM;0.9096468091011047;0.9163552522659302;950941792
15;The Happy Scientist;https://bitesize.hipcast.com/albumart/1007_1601032671.jpg;VM;0.8319190144538879;0.8592857122421265;1545085944
16;The Health Mastery Café with Dr. Dave;https://hmcafe.hipcast.com/albumart/1001_1498140766.jpg;VM;0.8173303604125977;0.8226404190063477;1128280512
17;"""""""Listen to The Dead Weather's New Song, """"""""Buzzkill(er)""""""""""""""";http://cdn.pastemagazine.com/www/articles/deadWeatherSquare.jpg?635503291725589572;VM;0.9197710752487183;0.9226238131523132;681842839
18;There's a <i>Mrs. Doubtfire</i> Sequel in the Works;http://cdn.pastemagazine.com/www/articles/Doubtfire_Lead.jpg?635336088645615725;VM;0.9318035840988159;0.9347546100616455;571535772
19;DC All Stars podcast;https://taylornetwork.hipcast.com/albumart/1042_1621207889.jpg;VM;0.7364295125007629;0.7481181621551514;2083570112
20;35 Possible Titles for the <i>Mrs. Doubtfire</i> Sequel;http://cdn.pastemagazine.com/www/articles/Doubtfire_Lead.jpg?635333416831236547;VM;0.9310015439987183;0.9355071187019348;383937662
