;Caption;URL;type;mean_sscd;max_sscd;Index
0;The Podcast for Ambitious Female Entrepreneurs;https://onlinecoach1.hipcast.com/albumart/1000_1618923228.jpg;VM;0.839282631874084;0.846736550331115;1030727993
1;Large U-shaped zip for hassle-free packing at chttps://eu.gregorypacks.com/on/demandware.static/-/Library-Sites-gregory-content-library/en_SK/v1606883040757/images/seo-content/greg_freefloat-features/product-highlight_freefloat-features_full-body-u-zip-main-opening-front_111594.jpg;TM;0.191364616155624;0.208318829536438;2026642560
2;The nurturing impact of a mother hippo on her calf;https://bridgepoint.hipcast.com/albumart/1255_1611128821.jpg;VM;0.901676297187805;0.907255232334137;964841345
3;Check out Passion Pit’s new video, “Lifted Up (1985)”;http://cdn.pastemagazine.com/www/articles/LiftedUpPassionPitLead.png?635631739914404090;VM;0.867600440979003;0.872886180877685;567947515
4;Discussions on Buddhist precepts and ethical teachings;https://kargetsi.hipcast.com/albumart/1002_1412114076.jpg;VM;0.836836695671081;0.845614433288574;455502462
5;Sony pulls release of The Interview from video on demand;http://cdn.pastemagazine.com/www/articles/theinterviewlead.jpg?635544845263589183;VM;0.922988891601562;0.925653576850891;851022632
6;Trailer for documentary I Am Chris Farley debuts;http://cdn.pastemagazine.com/www/articles/chrisfarley_lead.jpg?635714111027175372;VM;0.87388527393341;0.886290073394775;1023892317
7;Multi-platform review of South Park: The Stick of Truth;http://cdn.pastemagazine.com/www/articles/south%20park%20stick%20of%20truth%20square.jpg?635299191297936569;VM;0.845353484153747;0.870995759963989;603108831
8;X-Men: Days of Future Past director to work on Battle Creek pilot;http://cdn.pastemagazine.com/www/articles/xmen_Lead.jpg?635302258433891622;VM;0.839107632637023;0.847272276878356;164368747
9;Conversations with Laura Powers on insights;https://healingpowers.hipcast.com/albumart/1002_1574160114.jpg;VM;0.847408592700958;0.851637363433837;453829331
10;Punisher joins Daredevil season two: speculation on the next villain;http://cdn.pastemagazine.com/www/articles/Daredevil.jpg?635715723368404272;VM;0.763948619365692;0.785511791706085;1905554055
11;Aretha Franklin sues for $10M over Patti LaBelle satire article;http://cdn.pastemagazine.com/www/articles/ArethaPattiFightLead.jpg?635336007908858997;VM;0.939374923706054;0.943629026412963;455965495
12;Hawkgirl cast for Arrow/Flash spinoff series on The CW;http://cdn.pastemagazine.com/www/articles/GalleryChar_1900x900_Hawkgirl_52ab8e9dcba602.76541875.jpg?635634067326687289;VM;0.864558219909668;0.868984103202819;2064288135
13;Key details about St. Vincent’s radio show on Apple Music;http://cdn.pastemagazine.com/www/articles/St.%20Vincent%20Lead.jpg?635713041884767471;TM;0.486875146627426;0.641843497753143;846846885
